I0422 15:05:07.978934   16888 server.go:327] Starting Server
I0422 15:05:11.104059   16888 database.go:196] failed to retrieve node d5b1189b7cb1e0f133bf173462e107a91b029f4d37162ddabbd4d280f57972aeddeadb61b4007cff6f24cc462d2fcd46da6adbabac3874466b024323bd134564: leveldb: not found
I0422 15:05:11.104059   16888 table.go:417] Bonding d5b1189b7cb1e0f1: known=false, fails=0 age=405917h5m11.1040592s
I0422 15:05:11.104059   16888 database.go:196] failed to retrieve node 7c197767d19c488afd8025b008a724196fd03d32d0bf85a57b60fdaa10f2ffe72359d987a9edd7442b55030f43315092567d261d147c3ea5189c7e6a1bcd87b1: leveldb: not found
I0422 15:05:11.104559   16888 table.go:417] Bonding 7c197767d19c488a: known=false, fails=0 age=405917h5m11.1045593s
I0422 15:05:11.104059   16888 database.go:196] failed to retrieve node 60eb3c6f6fddeebfe336ddf03040cdff9098960092b917ad67ba91bdab3e1f94fecbe60ba56409e879fb32150b397e5ab1133c15f1118f42bb584293f6cd1279: leveldb: not found
I0422 15:05:11.104559   16888 table.go:417] Bonding 60eb3c6f6fddeebf: known=false, fails=0 age=43.1045593s
I0422 15:05:11.104559   16888 database.go:196] failed to retrieve node 8bdc490b2cd2a8de116b1a3683e36d957b085b4a8c6bfa9377f1a5b3145635fc64772e65749351615ceb7399cb49aa7c7c1c12e81cfef4429abf20b53db4bfd2: leveldb: not found
I0422 15:05:11.105059   16888 database.go:196] failed to retrieve node deb3b0917acee119bf53a6adf4ffdc3beeeda0f8d2e803be82c87847494fbc723714bbfabd4554b017128944541a3296b307b7c3ba0ed4c90777097197a2422e: leveldb: not found
I0422 15:05:11.105059   16888 table.go:417] Bonding deb3b0917acee119: known=false, fails=0 age=405917h5m11.1050594s
I0422 15:05:11.105059   16888 table.go:417] Bonding 8bdc490b2cd2a8de: known=false, fails=0 age=405917h5m11.1050594s
I0422 15:05:11.105059   16888 udp.go:429] >>> 90.19.80.124:30303 discover.ping
I0422 15:05:11.104059   16888 database.go:196] failed to retrieve node efedf6e24b2f0f928c1e1ef837d621e9dbf382069eb3bc42c5903b2d41f1a2517402d5b5c8ba7d13fc466a8a653be4347f0020477f5a196c05493a86d387e7d4: leveldb: not found
I0422 15:05:11.105559   16888 table.go:417] Bonding efedf6e24b2f0f92: known=false, fails=0 age=405917h5m11.1055595s
I0422 15:05:11.106059   16888 udp.go:429] >>> 77.198.209.244:30303 discover.ping
I0422 15:05:11.106059   16888 table.go:417] Bonding c6876c94e7280875: known=true, fails=1 age=47.1060596s
I0422 15:05:11.106059   16888 udp.go:429] >>> 73.182.53.183:62347 discover.ping
I0422 15:05:11.106559   16888 udp.go:429] >>> 78.46.49.102:30304 discover.ping
I0422 15:05:11.107059   16888 udp.go:429] >>> 78.46.49.102:30304 discover.ping
I0422 15:05:11.107559   16888 udp.go:429] >>> 78.46.49.102:30304 discover.ping
I0422 15:05:11.136565   16888 udp.go:497] <<< 192.95.60.60:30303 *discover.neighbors: ok
I0422 15:05:11.137065   16888 udp.go:497] <<< 192.95.60.60:30303 *discover.neighbors: ok
I0422 15:05:11.137565   16888 database.go:196] failed to retrieve node db4d4d5e1c3a0d82102b8d561b11afdba3afcf76746175381525ef5f43d12704b144490c864bf43f1d5029049cfaceaff3e4e00f0e0b3995e63cb3b48855724f: leveldb: not found
I0422 15:05:11.137565   16888 table.go:417] Bonding c6876c94e7280875: known=true, fails=1 age=47.1375659s
I0422 15:05:11.137565   16888 database.go:196] failed to retrieve node 27f511d3d88d407c783383112164ba3d87abd90fb3d66cce3f71c08aa70058ae0713e8441296dc3cf9bb3be5e41290fcaa5f0e5cdba6fc9b9ebb7d704d531595: leveldb: not found
I0422 15:05:11.137565   16888 table.go:417] Bonding 27f511d3d88d407c: known=false, fails=0 age=405917h5m11.1375659s
I0422 15:05:11.138066   16888 database.go:196] failed to retrieve node 4456869519fc5c6e777e90ceb4e80a5e18a2a8851f81eb10875a444fa12ff7fd11db337c532e23c12d015e88124d3fbf2cd87fd83104affaae4ffa7001cbde1d: leveldb: not found
I0422 15:05:11.138066   16888 table.go:417] Bonding 4456869519fc5c6e: known=false, fails=0 age=405917h5m11.138066s
I0422 15:05:11.138066   16888 table.go:417] Bonding db4d4d5e1c3a0d82: known=false, fails=0 age=405917h5m11.138066s
I0422 15:05:11.138066   16888 database.go:196] failed to retrieve node 0312eff8820adbda68d99873fd6b613f3eca7ede2c2d5be190ad3ef11be772441b0885200ab47a67a8258d0a30021029edfc9a7bcc98781b3d8072391c50332a: leveldb: not found
I0422 15:05:11.138066   16888 table.go:417] Bonding 0312eff8820adbda: known=false, fails=0 age=405917h5m11.138066s
I0422 15:05:11.138066   16888 udp.go:429] >>> 98.197.69.225:30303 discover.ping
I0422 15:05:11.143567   16888 udp.go:497] <<< 73.33.181.145:30303 *discover.neighbors: ok
I0422 15:05:11.148568   16888 udp.go:497] <<< 73.33.181.145:30303 *discover.neighbors: ok
I0422 15:05:11.148568   16888 database.go:196] failed to retrieve node 8eefd552ada27393abc9941ffa2cee44b4f6a32147cdbf08d254a23654692d879d066675abcfd73a9b965a933b4c2ad38094d6768acefd49e682974c43275505: leveldb: not found
I0422 15:05:11.148568   16888 table.go:417] Bonding 8eefd552ada27393: known=false, fails=0 age=405917h5m11.1485681s
I0422 15:05:11.148568   16888 database.go:196] failed to retrieve node bfc0ae17a24d27a2153f1704ae95b876c3c6357b5fb72a3588a1e130ada295bcecf42412bd17cfddb54a680c6fa740607185bc651bb9bbf4b813ddadb62c04ad: leveldb: not found
I0422 15:05:11.149068   16888 table.go:417] Bonding bc2bfb25f2ca95b4: known=true, fails=1 age=68h23m39.1490682s
I0422 15:05:11.149068   16888 table.go:417] Bonding bfc0ae17a24d27a2: known=false, fails=0 age=405917h5m11.1490682s
I0422 15:05:11.148568   16888 database.go:196] failed to retrieve node c0bbe5f5023195973ea5beccd875c343e126ead1c34e1a98372410fd0cf86406d4257d52f8f4fec9014fa4ec5ce796cb4ffdaae89548f4b7cd3bce6053c17168: leveldb: not found
